course_name,Course_link
Chartered Manager Degree Apprenticeship - ,https://www.aston.ac.uk/study/courses/chartered-manager-degree-apprenticeship/september-2022
"Chemical Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/chemical-engineering-beng/september-2022
"Chemical Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/chemical-engineering-meng/september-2022
Chemistry BSc - ,https://www.aston.ac.uk/study/courses/chemistry-bsc/september-2022
"Civil Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/civil-engineering-beng/september-2022
"Civil Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/civil-engineering-meng/september-2022
"Civil Infrastructure Engineering (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/civil-infrastructure-engineering-including-professional-practice-msc/september-2022
"Civil Infrastructure Engineering MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/civil-infrastructure-engineering-msc/september-2022
"Clinical Microbiology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/clinical-microbiology-standalone-module/september-2022
"Clinical Neurophysiology Practice MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinical-neurophysiology-practice-msc/october-2022
"Clinical Science (Neurosensory Sciences) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinical-science-neurosensory-sciences-msc/september-2022
"Clinically Enhanced Independent Prescribing PgCert -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinically-enhanced-independent-prescribing-pgcert/october-2022
"Clinically Enhanced Prescribing in Acute and Emergency Medicine – Standalone module -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/clinically-enhanced-prescribing-in-acute-and-emergency-medicine-standalone-module
"Cognitive and Affective Neuroscience MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/cognitive-and-affective-neuroscience-msc/september-2022
"Computer Science (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/computer-science-including-professional-practice-msc/september-2022
"Computer Science BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/computer-science-bsc/september-2022
"Computer Science MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/computer-science-msc/september-2022
"Computer Science with Business BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/computer-science-business-bsc/september-2022
"Construction Management and Engineering (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/construction-management-and-engineering-including-professional-practice-msc/september
"Construction Management and Engineering MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/construction-management-and-engineering-msc/september-2022
"Construction Project Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/construction-project-management-bsc/september-2022
"Crisis and Disaster Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/crisis-and-disaster-management-msc/september-2022
"Cybersecurity BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/cybersecurity-bsc/september-2022
"Data Analytics (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-including-professional-practice-msc/january-2023
"Data Analytics (including Professional Practice) MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-including-professional-practice-msc/september-2022
"Data Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-msc/january-2023
"Data Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/data-analytics-msc/september-2022
"Design Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/design-engineering-beng/september-2022
"Design Enterprise and Innovation MSci -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/design-enterprise-and-innovation-msci/september-2022
"Digital and Technology Solutions BSc Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/digital-and-technology-solutions-bsc-degree-apprenticeship/september-2022
"Digital and Technology Solutions Specialist MSc Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/digital-and-technology-solutions-specialist-msc-degree-apprenticeship/september-2022
"Digital Marketing and Analytics MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/digital-marketing-and-analytics-msc-online-
"Digital Marketing Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/digital-marketing-degree-apprenticeship/september-2022
"Doctor of Business Administration (DBA) -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/doctor-of-business-administration-dba-
"Doctor of Optometry / Doctor of Ophthalmic Science DOptom/DOphSc -
Research degrees/PhD",https://www.aston.ac.uk/study/courses/doctor-optometry-doctor-ophthalmic-science-doptomdophsc/october-2022
"Drug Delivery MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/drug-delivery-msc/september-2022
"Economics and Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/economics-and-management-bsc/september-2022
"Economics and Politics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/economics-and-politics-bsc/september-2021
"Economics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/economics-bsc/september-2022
"EEG in Practice -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/eeg-practice/september-2022
"Electrical and Electronic Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-beng/september-2022
"Electrical and Electronic Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-meng/september-2022
"Electrical Power Engineering FdEng -
Work-based learning",https://www.aston.ac.uk/study/courses/electrical-power-engineering-fdeng/september-2020
"Electronic Engineering and Computer Science BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-beng/september-2022
"Electronic Engineering and Computer Science MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-meng/september-2022
"Engineer Postgraduate Diploma Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/engineer-postgraduate-diploma-degree-apprenticeship/october-2022
"Engineering Leadership & Management -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/engineering-leadership-management
"Engineering Leadership and Management MSc -
Work-based learning",https://www.aston.ac.uk/study/courses/engineering-leadership-and-management-msc
"Engineering Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/engineering-management-msc/september-2022
"Engineering Management MSc - January 2023 -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/engineering-management-msc-january-2023/january-2023
"English Language and Literature BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/english-language-and-literature-bsc/september-2022
"English Language BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/english-language-bsc/september-2022
"English Literature and Sociology BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/english-literature-and-sociology-bsc/september-2022
"Entrepreneurship and Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/entrepreneurship-and-analytics-msc/september-2022
"Entrepreneurship MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/entrepreneurship-msc/september-2022
"Europe and the World Double MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/europe-and-world-double-ma/september-2022
"Executive MBA -
MBA",https://www.aston.ac.uk/study/courses/executive-mba/september-2022
"Finance BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/finance-bsc/september-2022
